Type ,Drawing,References
Africana 1 Piccolo,DR44,
Africana 2A Grande,DR145,
Africana 2A Grande,DR605,
Africana 2B Grande,DR146,
Africana 2B Pseudo-Tripolitanian,DR450,
Africana 2C Grande,DR147,
Africana 2D Grande,DR148,
Africana 2D Grande,DR36,
Africana 3A,DR504,
Africana 3A,DR505,
Africana 3A,DR57,
Africana 3A,DR58,
Africana 3A,DR59,
Africana 3A,DR60,
Africana 3B,DR451,
Africana 3B,DR585,Manacord 1977; Bonifay 2004
Africana 3C,DR454,
Africana 3C,DR586,
Agora F65-66,DR570,
Agora F65-67,DR571,
Agora G199,DR167,
Agora K109,DR180,
Agora M54,DR181,
Agora M54,DR309,
Agora M273,DR182,
Agora M273,DR323,
Agora M334,DR531,
Agora M254 Variant A,DR307,
Agora M254,DR265,
Agora M254 Variant B,DR264,
Almagro 50,DR266,
Almagro 50,DR310,
Almagro 50,DR97,
Almagro 51A-B,DR39,
Almagro 51A-B,DR40,
Almagro 51A-B,DR401,
Almagro 51A-B,DR402,
Almagro 51A-B,DR403,
Almagro 51A-B,DR404,
Almagro 51A-B,DR41,
Almagro 51A-B,DR42,
Almagro 51A-B,DR43,
Almagro 51A-B,DR47,
Almagro 51A-B,DR588,
Almagro 51C,DR271,
Almagro 51C,DR272,
Almagro 51C,DR399,
Almagro 51C,DR400,
Almagro 51C,DR48,
Almagro 51C,DR49,
Almagro 51C,DR50,
Almagro 51C,DR51,
Almagro 51C,DR52,
Almagro 51C,DR589,
Almagro 51C,DR98,
Almagro 51C Variant,DR587,
Almagro 54,DR160,
Almagro 54,DR161,
Almagro 54,DR395,
Almagro 54,DR396,
Almagro 54,DR590a,
Almagro 54,DR590b,
Almagro 54,DR590c,
Almagro 54,DR590d,
Amphorae Saumure d'Espagne,DR241,
Amphorae Saumure d'Espagne,DR245,
Amphore de Pamphylie,DR523,
Amphore Égyptienne 1,DR443,
Amphore Égyptienne 2,DR444,
Amphore Égyptienne Bitronconique 3,DR442,
Amrit amphora,DR584,
Ancient Tripolitanian Amphora,DR460,
Aquincum 78,DR532,
Augst 17 Variant A,DR203,
Augst 17 Variant B,DR262,
Augst 33,DR204,
Augst 34,DR205,
Augst 46,DR317,
Augst 47 Variant A,DR206,
Augst 47 Variant B,DR261,
Ayla-Axum,DR207,
Bailey Type A,DR300,
Beirut 1,DR456,
Beirut 3,DR457,
Beirut 8,DR458,
Beltran 2A,DR100,
Beltran 2A,DR360,
Beltran 2A,DR422,
Beltran 2A,DR423,
Beltran 2B,DR133,
Beltran 2B,DR424,
Beltran 2B,DR455,
Beltran 72,DR273,
Beltran 72,DR274,
Beltran 72,DR311,
Beltran 72,DR607,
Bonis 31/5,DR533,
Brindisian amphora,DR134,
Brindisian amphora,DR279,
Brindisian amphora,DR280,
Brindisian amphora,DR281,
Brindisian amphora,DR282,
Brindisian amphora,DR534,
Brindisian amphora,DR535,
Campanian almond-rim type,PEC449,
Camulodunum 139,DR208,
Camulodunum 176,DR209,
Carrot amphora,DR103,
Carrot amphora,DR210,
Carthage Early Roman 4,DR394,
Castrum Perti,DR354,
Chalk 6,DR286,
Con Orlo a Fascia,DR489,
Cretoise 1,DR211,
Cretoise 2,DR212,
Cretoise 2,DR260,
Cretoise 3,DR506,
Cretoise 3,DR507,
Crypta Balbi 1,PEC266,
Crypta Balbi 2,PEC269,
Crypta Balbi 2,PEC325,
Dressel 1,DR104,
Dressel 1,DR105,
Dressel 1,DR106,
Dressel 10,DR215,
Dressel 11,DR447,
Dressel 12,DR109,
Dressel 12,DR291,
Dressel 12,DR292,
Dressel 12,DR293,
Dressel 12,DR294,
Dressel 14,DR101,
Dressel 14,DR110,
Dressel 14,DR217,
Dressel 14,DR256,
Dressel 14,DR405,
Dressel 14,DR406,
Dressel 14,DR596,
Dressel 16,DR169,
Dressel 16,DR218,
Dressel 16,DR378,
Dressel 17,DR170,
Dressel 17,DR350,
Dressel 1B similis - Lyon,DR214,
Dressel 1B similis - Lyon,DR383,
Dressel 2-4 African,DR461,
Dressel 2-4 Almadrava,DR195,
Dressel 2-4 Almadrava,DR196,
Dressel 2-4 Almadrava,DR197,
Dressel 2-4 Catalan,DR194,
Dressel 2-4 Cos,DR186,
Dressel 2-4 Egyptian,DR198,
Dressel 2-4 Flat-based,DR187,
Dressel 2-4 Italian,DR139,
Dressel 2-4 Italian,DR188,
Dressel 2-4 Italian,DR191,
Dressel 2-4 Loire Basin,DR221,
Dressel 2-4 Loire Basin,DR255,
Dressel 2-4 Lyon 2,DR384,
Dressel 2-4 Lyon 2,DR385,
Dressel 20,DR111,
Dressel 20,DR140,
Dressel 20,DR141,
Dressel 20 similis - Oliva 3,DR237,
Dressel 21-22,DR135,
Dressel 21-22,DR219,
Dressel 21-22,DR243,
Dressel 23,DR113,
Dressel 23,DR220,
Dressel 24,DR623,
Dressel 25,DR511,
Dressel 28,DR114,
Dressel 28 similis - Lyon,DR375,
Dressel 30 - Keay 1A,DR275,
Dressel 30 - Keay 1A,DR473,
Dressel 30 - Keay 1B,DR149,
Dressel 30 - Keay 1B,DR276,
Dressel 30 - Keay 1B,DR277,
Dressel 30 - Keay 1B,DR474,
Dressel 30 - Tunisian Variants,DR599,
Dressel 35,DR171,
Dressel 43,DR172,
Dressel 43,DR295,
Dressel 43,DR296,
Dressel 43,DR297,
Dressel 5,DR223,
Dressel 5,DR254,
Dressel 6A,DR137,
Dressel 6B,DR127,
Dressel 6B,DR138,
Dressel 7,DR224,
Dressel 7,DR448,
Dressel 8,DR225,
Dressel 8,DR361,
Dressel 8,DR380,
Dressel 8,DR446,
Dressel 8,DR99,
Dressel 9,DR226,
Dressel 9,DR379,
Dressel 9 & 10 similis - Lyon,DR216,
Dressel 9 & 10 similis - Lyon,DR257,
Dressel 9 & 10 similis - Lyon,DR258,
Dressel 9 & 10 similis - Lyon,DR259,
Dressel 9 & 10 similis - Lyon,DR509,
Dressel 9 & 10 similis - Lyon,DR592,